Application Name,Year,Month,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
Punjab Sindh Bank App,2024,4,0.03,12.15,0.0,0.0,0.0,0.0,0.03,12.15
Allahabad Bank App,2024,4,0.02,6.18,0.0,0.0,0.0,0.0,0.02,6.18
Fave,2024,4,0.02,1.16,0.0,0.0,0.0,0.0,0.02,1.16
Cheq,2024,4,0.01,1.13,0.0,0.0,0.0,0.0,0.01,1.13
Others,2024,4,1.03,108.18,0.0,0.0,0.15,4.42,1.18,112.6
Airtel Payments Bank Apps,2022,8,7.96,608.38,,,0.0,0.01,7.96,608.5
Allahabad Bank App,2022,8,0.03,7.7,,,,,0.03,7.7
Amazon Pay,2022,8,62.43,6353.15,,,,,62.43,6353.15
AU Small Finance Bank App,2022,8,0.45,138.7,,,,,0.45,138.7
Axis Bank Apps,2022,8,7.39,1313.76,50.7,42.71,0.02,1.42,58.11,1357.89
Bajaj Finserv,2022,8,2.45,178.59,,,,,2.45,178.59
Bajaj Finserv,2022,8,0.02,1.58,,,,,0.02,1.58
Bandhan Bank Apps,2022,8,0.01,1.25,,,,,0.01,1.25
Bank of Baroda Apps,2022,8,0.99,383.42,,,0.0,0.0,0.99,383.43
Bank of India App,2022,8,0.17,54.81,,,,,0.17,54.81
Bank of Maharashtra App,2022,8,0.07,17.19,,,,,0.07,17.19
BHIM,2022,8,24.99,7860.48,,,,,24.99,7860.48
Canara Bank App,2022,8,0.67,176.37,,,,,0.67,176.37
Central Bank of India App,2022,8,0.24,64.59,,,0.0,0.01,0.24,64.59
Citi Bank App,2022,8,0.11,63.08,,,0.0,0.0,0.11,63.08
City Union Bank App,2022,8,0.04,11.45,,,,,0.04,11.45
Cointab,2022,8,0.06,24.98,,,,,0.06,24.98
Cred,2022,8,14.81,19084.3,,,,,14.81,19084.3
DBS Bank Apps,2022,8,0.48,178.76,,,,,0.48,178.76
Deutsche Bank App,2022,8,1.98,119.21,,,0.0,0.01,1.98,119.21
Dhanlaxmi Bank App,2022,8,0.01,3.1,,,,,0.01,3.1
Equitas Small Apps,2022,8,0.01,4.94,,,,,0.01,4.94
Fave,2022,8,0.14,7.71,,,,,0.14,7.71
Federal Bank App,2022,8,3.8,520.2,,,0.0,0.0,3.8,520.2
Fino Payments Bank App,2022,8,0.08,5.05,,,,,0.08,5.05
GoIbibo,2022,8,0.01,4.82,,,,,0.01,4.82
Google Pay,2022,8,2212.73,371081.16,,,,,2212.73,371081.16
Groww,2022,8,0.8,490.93,,,,,0.8,490.93
HDFC Bank Apps,2022,8,9.83,2415.47,,,,,9.83,2415.47
