Application Name,Year,Month,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
Paytm,2023,7,1278.96,147723.3,1.4,4.19,0.57,887.53,1393.66,170767.35
Cred,2023,7,80.34,30999.71,0.0,0.0,0.0,0.0,80.34,30999.71
Axis Bank Apps,2023,7,9.77,1767.83,54.52,1447.04,0.01,2.16,64.3,3217.03
Amazon Pay,2023,7,57.6,6163.84,0.0,0.0,0.0,0.0,57.6,6163.84
ICICI Bank Apps,2023,7,24.47,8077.88,4.14,312.8,7.31,9379.69,35.92,17770.37
Yes Bank Apps,2023,7,31.53,11419.73,0.0,0.0,0.48,83.07,32.01,11502.79
BHIM,2023,7,24.94,8244.91,0.0,0.0,0.0,0.0,24.94,8244.91
Kotak Mahindra Bank Apps,2023,7,18.56,3480.59,0.0,0.0,0.0,0.01,18.56,3480.6
WhatsApp,2023,7,17.84,1598.67,0.0,0.0,0.0,0.0,17.84,1598.67
HDFC Bank Apps,2023,7,17.77,4410.51,0.0,0.0,0.0,0.0,17.77,4410.51
FamApp by Trio,2023,7,16.79,206.43,0.0,0.0,0.0,0.0,16.79,206.43
Bajaj Finserv,2023,7,12.11,1740.97,0.0,0.0,0.0,0.0,12.11,1740.97
Airtel Payments Bank Apps,2023,7,9.65,665.97,0.0,0.0,0.0,0.01,9.65,666.04
Samsung Pay,2023,7,5.81,544.13,0.0,0.0,0.0,0.0,5.81,544.13
India Post Payments Bank App,2023,7,5.43,587.75,0.0,0.0,0.0,0.0,5.43,587.75
Federal Bank App,2023,7,5.19,665.11,0.0,0.0,0.0,0.0,5.19,665.11
SBI Bank Apps,2023,7,4.99,2094.63,0.0,0.0,0.02,0.52,5.01,2095.15
IDFC First Bank Apps,2023,7,4.17,1121.41,0.0,0.0,0.0,0.0,4.17,1121.41
Standard Chartered Bank App,2023,7,3.54,1606.29,0.0,0.0,0.6,523.09,4.14,2129.38
Mobikwik,2023,7,3.79,1140.63,0.0,0.0,0.0,0.0,3.79,1140.63
Jupiter Money,2023,7,3.27,466.39,0.0,0.0,0.0,0.0,3.27,466.39
Groww,2023,7,2.81,2075.98,0.0,0.0,0.0,0.0,2.81,2075.98
Deutsche Bank App,2023,7,1.83,175.5,0.0,0.0,0.0,0.02,1.83,175.52
Canara Bank App,2023,7,1.73,514.02,0.0,0.0,0.0,0.0,1.73,514.02
GoKiwi,2023,7,1.53,52.51,0.0,0.0,0.0,0.0,1.53,52.51
Bank of Baroda Apps,2023,7,1.34,477.16,0.0,0.0,0.0,0.0,1.34,477.16
Jio Payments Bank App,2023,7,1.34,114.12,0.0,0.0,0.0,0.0,1.34,114.12
RBL Bank App,2023,7,1.13,523.22,0.0,0.01,0.14,6.35,1.28,529.58
Slice,2023,7,0.94,301.0,0.0,0.0,0.0,0.0,0.94,301.0
Union Bank Apps,2023,7,0.88,349.19,0.0,0.0,0.0,0.0,0.88,349.19
INDIE,2023,7,0.84,723.32,0.0,0.0,0.0,0.0,0.84,723.32
Punjab National Bank App,2023,7,0.79,181.5,0.0,0.0,0.0,0.0,0.79,181.5
AU Small Finance Bank App,2023,7,0.68,209.86,0.0,0.0,0.0,0.0,0.68,209.86
OMNI,2023,7,0.62,19.49,0.0,0.0,0.0,0.0,0.62,19.49
Karnataka Bank App,2023,7,0.61,124.34,0.0,0.0,0.0,0.0,0.61,124.34
DBS Bank Apps,2023,7,0.44,179.34,0.0,0.0,0.0,0.37,0.44,179.72
Central Bank of India App,2023,7,0.44,97.52,0.0,0.0,0.0,0.23,0.44,97.75
UCO Bank App,2023,7,0.36,116.31,0.0,0.0,0.0,0.0,0.36,116.31
Indian Bank App,2023,7,0.31,92.29,0.0,0.0,0.0,0.35,0.31,92.64
South Indian Bank App,2023,7,0.25,73.83,0.0,0.0,0.0,0.0,0.25,73.83
Bank of India App,2023,7,0.25,78.83,0.0,0.0,0.0,0.0,0.25,78.83
Fino Payments Bank App,2023,7,0.17,13.36,0.0,0.0,0.0,0.0,0.17,13.36
HSBC Bank App,2023,7,0.16,96.44,0.0,0.08,0.0,0.0,0.16,96.52
Fave,2023,7,0.12,7.56,0.0,0.0,0.0,0.0,0.12,7.56
Bajaj Finserv,2023,7,0.11,25.8,0.0,0.0,0.0,0.0,0.11,25.8
TataNeu,2023,7,0.1,16.7,0.0,0.0,0.0,0.0,0.1,16.7
Tamilnad Mercantile Bank Apps,2023,7,0.1,23.5,0.0,0.0,0.0,0.0,0.1,23.5
IDBI Bank App,2023,7,0.07,37.4,0.0,0.0,0.0,0.0,0.07,37.4
Citi Bank App,2023,7,0.07,61.36,0.0,0.0,0.0,0.0,0.07,61.36
Ultracash,2023,7,0.07,5.01,0.0,0.0,0.0,0.0,0.07,5.01
City Union Bank App,2023,7,0.07,20.96,0.0,0.0,0.0,0.0,0.07,20.96
Indian Overseas Bank Apps,2023,7,0.07,18.01,0.0,0.0,0.0,0.0,0.07,18.01
Karur Vysya Bank App,2023,7,0.04,16.34,0.0,0.0,0.0,0.0,0.04,16.34
MakeMyTrip,2023,7,0.04,19.92,0.0,0.0,0.0,0.0,0.04,19.92
Dhani,2023,7,0.03,7.81,0.0,0.0,0.0,0.0,0.03,7.81
Equitas Small Apps,2023,7,0.03,18.9,0.0,0.0,0.0,0.0,0.03,18.9
Bank of Maharashtra App,2023,7,0.03,5.66,0.0,0.0,0.0,0.0,0.03,5.66
Allahabad Bank App,2023,7,0.03,8.73,0.0,0.0,0.0,0.0,0.03,8.73
Punjab Sindh Bank App,2023,7,0.03,12.72,0.0,0.0,0.0,0.0,0.03,12.72
NSDL Payments Bank App,2023,7,0.03,4.56,0.0,0.0,0.0,0.0,0.03,4.56
Utkarsh Small Finance Bank,2023,7,0.02,6.24,0.0,0.0,0.0,0.0,0.02,6.24
Mobikwik,2023,7,0.02,3.63,0.0,0.0,0.0,0.0,0.02,3.63
Jammu and Kashmir Bank App,2023,7,0.01,2.29,0.0,0.0,0.0,0.0,0.01,2.29
Zomato,2023,7,0.01,0.66,0.0,0.0,0.0,0.0,0.01,0.66
Dhanlaxmi Bank App,2023,7,0.01,2.87,0.0,0.0,0.0,0.0,0.01,2.87
Bandhan Bank Apps,2023,7,0.01,0.98,0.0,0.0,0.0,0.0,0.01,0.98
Shriram One,2023,7,0.01,0.21,0.0,0.0,0.0,0.0,0.01,0.21
Others,2023,7,0.03,11.05,0.0,0.0,0.0,0.0,0.03,11.05
PhonePe,2024,7,6983.97,1028799.39,0.0,0.0,0.0,0.0,6983.97,1028799.39
Google Pay,2024,7,5341.23,735159.2,0.0,0.0,0.0,0.0,5341.23,735159.2
Paytm,2024,7,1128.97,123467.32,0.0,0.0,0.0,0.0,1128.97,123467.33
Cred,2024,7,142.56,48998.89,0.0,0.0,0.0,0.0,142.56,48998.89
Axis Bank Apps,2024,7,15.45,3943.51,93.11,2389.15,0.01,2.4,108.57,6335.06
Amazon Pay,2024,7,72.41,7995.92,0.0,0.0,0.0,0.0,72.41,7995.92
Navi,2024,7,68.47,3574.61,0.0,0.0,0.0,0.0,68.47,3574.61
ICICI Bank Apps,2024,7,42.13,17883.79,3.46,405.17,7.32,10240.43,52.91,28529.39
FamApp by Trio,2024,7,52.04,639.44,0.0,0.0,0.0,0.0,52.04,639.44
Kotak Mahindra Bank Apps,2024,7,44.8,6488.28,0.0,0.0,0.0,0.0,44.8,6488.28
WhatsApp,2024,7,41.39,3215.18,0.0,0.0,0.0,0.0,41.39,3215.18
HDFC Bank Apps,2024,7,35.25,8747.15,0.02,0.07,0.0,0.28,35.28,8747.5
BHIM,2024,7,24.64,8756.73,0.0,0.0,0.0,0.0,24.64,8756.73
Yes Bank Apps,2024,7,23.81,9556.22,0.0,0.0,0.27,26.99,24.08,9583.2
Airtel Payments Bank Apps,2024,7,16.63,1210.03,0.0,0.0,0.85,0.29,17.48,1210.32
Groww,2024,7,15.18,12129.34,0.0,0.0,0.0,0.0,15.18,12129.34
Bajaj Finserv,2024,7,9.9,2309.58,0.0,0.0,0.0,0.0,9.9,2309.58
Slice,2024,7,9.41,708.27,0.0,0.0,0.0,0.0,9.41,708.27
Mobikwik,2024,7,9.11,2431.73,0.0,0.0,0.0,0.0,9.11,2431.73
SBI Bank Apps,2024,7,8.06,2691.74,0.0,0.0,0.0,0.0,8.06,2691.74
IDFC First Bank Apps,2024,7,7.63,1725.98,0.0,0.0,0.0,0.0,7.63,1725.98
Flipkart UPI,2024,7,7.12,422.36,0.0,0.0,0.0,0.0,7.12,422.36
Samsung Pay,2024,7,6.6,558.51,0.0,0.0,0.0,0.0,6.6,558.51
India Post Payments Bank App,2024,7,6.43,826.31,0.0,0.0,0.0,0.0,6.43,826.31
Federal Bank App,2024,7,5.95,848.66,0.0,0.0,0.0,0.0,5.95,848.66
Jupiter Money,2024,7,5.76,781.04,0.0,0.0,0.0,0.0,5.76,781.04
Canara Bank App,2024,7,3.04,834.74,0.0,0.0,0.0,0.0,3.04,834.74
Federal Bank App,2024,7,2.68,460.69,0.0,0.0,0.0,0.0,2.68,460.69
Jio Payments Bank App,2024,7,2.53,199.65,0.0,0.0,0.0,0.0,2.53,199.65
super.money #,2024,7,2.5,75.7,0.0,0.0,0.0,0.0,2.5,75.7
Deutsche Bank App,2024,7,2.43,344.47,0.0,0.0,0.0,0.06,2.44,344.53
Timepay,2024,7,2.16,20.43,0.0,0.0,0.0,0.08,2.16,20.52
Punjab National Bank App,2024,7,2.15,563.99,0.0,0.0,0.0,0.0,2.15,563.99
Indian Bank App,2024,7,1.95,342.38,0.0,0.0,0.0,2.45,1.95,344.83
RBL Bank App,2024,7,1.41,336.63,0.0,0.0,0.05,18.14,1.46,354.77
Union Bank Apps,2024,7,1.28,530.92,0.0,0.0,0.0,0.0,1.28,530.92
OMNI,2024,7,1.2,54.57,0.0,0.0,0.0,0.0,1.2,54.57
Bank of Baroda Apps,2024,7,1.07,477.6,0.0,0.0,0.0,0.39,1.07,477.99
Jammu and Kashmir Bank App,2024,7,0.87,111.92,0.0,0.0,0.0,0.0,0.87,111.92
Central Bank of India App,2024,7,0.83,180.98,0.0,0.0,0.0,0.0,0.83,180.98
AU Small Finance Bank App,2024,7,0.66,202.05,0.0,0.0,0.0,0.0,0.66,202.05
South Indian Bank App,2024,7,0.56,159.32,0.0,0.0,0.0,0.0,0.56,159.32
DBS Bank Apps,2024,7,0.52,205.42,0.0,0.0,0.0,0.61,0.53,206.03
Pop Club,2024,7,0.45,34.71,0.0,0.0,0.0,0.0,0.45,34.71
Fino Payments Bank App,2024,7,0.44,58.11,0.0,0.0,0.0,0.0,0.44,58.11
HSBC Bank App,2024,7,0.44,152.09,0.0,0.05,0.0,0.0,0.44,152.15
INDIE,2024,7,0.37,99.64,0.0,0.0,0.01,1.48,0.38,101.12
Shriram One,2024,7,0.3,35.64,0.0,0.0,0.0,0.0,0.3,35.64
Digikhata,2024,7,0.26,83.11,0.0,0.0,0.0,0.0,0.26,83.11
UCO Bank App,2024,7,0.24,69.95,0.0,0.0,0.0,0.0,0.24,69.95
Karnataka Bank App,2024,7,0.19,39.14,0.0,0.0,0.0,0.0,0.19,39.14
Standard Chartered Bank App,2024,7,0.17,116.68,0.0,0.0,0.0,0.04,0.17,116.72
TataNeu,2024,7,0.17,26.16,0.0,0.0,0.0,0.0,0.17,26.16
Indian Overseas Bank Apps,2024,7,0.15,45.13,0.0,0.0,0.0,0.0,0.15,45.13
GoKiwi,2024,7,0.15,30.35,0.0,0.0,0.0,0.0,0.15,30.35
Suryoday,2024,7,0.13,0.03,0.0,0.0,0.0,0.0,0.13,0.03
Dhani,2024,7,0.11,15.91,0.0,0.0,0.0,0.0,0.11,15.91
Ultracash,2024,7,0.1,7.35,0.0,0.0,0.0,0.0,0.1,7.35
Bank of India App,2024,7,0.08,20.12,0.0,0.0,0.0,0.0,0.08,20.12
Tamilnad Mercantile Bank Apps,2024,7,0.08,24.19,0.0,0.0,0.0,0.0,0.08,24.19
City Union Bank App,2024,7,0.08,28.82,0.0,0.0,0.0,0.0,0.08,28.82
IDBI Bank App,2024,7,0.08,32.92,0.0,0.0,0.0,0.0,0.08,32.92
Aditya Birla Capital Digital,2024,7,0.08,3.7,0.0,0.0,0.0,0.0,0.08,3.7
NSDL Payments Bank App,2024,7,0.07,10.63,0.0,0.0,0.0,0.0,0.07,10.63
Citi Bank App,2024,7,0.06,33.95,0.0,0.0,0.01,0.59,0.07,34.54
Bank of Maharashtra App,2024,7,0.06,13.25,0.0,0.0,0.0,0.02,0.06,13.27
Niyo Global,2024,7,0.06,28.59,0.0,0.0,0.0,0.0,0.06,28.59
Karur Vysya Bank App,2024,7,0.06,20.69,0.0,0.0,0.0,0.0,0.06,20.69
Rapipay,2024,7,0.04,5.95,0.0,0.0,0.0,0.0,0.04,5.95
Equitas Small Apps,2024,7,0.04,28.2,0.0,0.0,0.0,0.0,0.04,28.2
Punjab Sindh Bank App,2024,7,0.03,14.96,0.0,0.0,0.0,0.0,0.03,14.96
Allahabad Bank App,2024,7,0.02,5.19,0.0,0.0,0.0,0.0,0.02,5.19
Others,2024,7,1.34,191.87,0.0,0.08,0.15,3.99,1.48,195.85
Airtel Payments Bank Apps,2022,6,6.38,506.14,0.0,0.0,,,6.38,506.2
Allahabad Bank App,2022,6,0.02,6.79,,,,,0.02,6.79
Amazon Pay,2022,6,68.4,6541.84,,,,,68.4,6541.84
AU Small Finance Bank App,2022,6,0.38,120.24,,,,,0.38,120.24
Axis Bank Apps,2022,6,6.96,1217.71,0.11,11.05,45.53,39.61,52.6,1268.38
Bajaj Finserv,2022,6,1.16,85.49,,,,,1.16,85.49
Bajaj Finserv,2022,6,0.01,1.2,,,,,0.01,1.2
Bank of Baroda Apps,2022,6,0.83,347.72,0.0,0.0,,,0.83,347.72
Bank of India App,2022,6,0.13,41.82,,,,,0.13,41.82
Bank of Maharashtra App,2022,6,0.06,15.77,,,,,0.06,15.77
BHIM,2022,6,22.6,7527.98,,,,,22.6,7527.98
Canara Bank App,2022,6,0.34,109.78,,,,,0.34,109.78
Central Bank of India App,2022,6,0.15,54.06,,,,,0.15,54.06
Citi Bank App,2022,6,0.13,63.54,0.0,0.0,,,0.13,63.54
City Union Bank App,2022,6,0.03,8.72,,,,,0.03,8.72
Cointab,2022,6,0.06,23.99,,,,,0.06,23.99
Cred,2022,6,13.4,17583.25,,,,,13.4,17583.25
DBS Bank Apps,2022,6,0.46,171.69,,,,,0.46,171.69
Deutsche Bank App,2022,6,1.51,99.12,0.0,0.0,,,1.51,99.12
Dhanlaxmi Bank App,2022,6,0.01,2.7,,,,,0.01,2.7
Equitas Small Apps,2022,6,0.01,3.87,,,,,0.01,3.87
Fave,2022,6,0.12,6.94,,,,,0.12,6.94
Federal Bank App,2022,6,3.55,494.21,,,,,3.55,494.21
Fino Payments Bank App,2022,6,0.05,3.17,,,,,0.05,3.17
Finshell Pay,2022,6,0.1,5.3,,,,,0.1,5.3
GoIbibo,2022,6,0.01,3.87,,,,,0.01,3.87
Google Pay,2022,6,2025.89,355137.2,,,,,2025.89,355137.2
Groww,2022,6,0.72,416.73,,,,,0.72,416.73
HDFC Bank Apps,2022,6,8.24,2066.22,,,,,8.24,2066.22
HSBC Bank App,2022,6,0.11,61.38,0.0,0.0,0.0,0.0,0.11,61.39
ICICI Bank Apps,2022,6,35.25,6931.44,4.11,3270.67,0.01,0.03,39.37,10202.14
IDBI Bank App,2022,6,0.03,15.71,,,,,0.03,15.71
IDFC First Bank Apps,2022,6,7.03,663.65,0.0,0.0,,,7.03,663.65
India Post Payments Bank App,2022,6,3.98,467.34,,,,,3.98,467.34
Indian Bank App,2022,6,0.17,53.3,0.0,0.38,,,0.17,53.68
Indian Overseas Bank Apps,2022,6,0.01,2.98,,,,,0.01,2.98
INDIE,2022,6,1.0,1645.13,,,,,1.0,1645.13
Janta Sahakari Bank App,2022,6,0.01,4.47,,,,,0.01,4.47
Jio Payments Bank App,2022,6,1.87,116.34,,,,,1.87,116.34
Jupiter Money,2022,6,1.89,223.22,,,,,1.89,223.22
Jupiter Money,2022,6,0.13,8.72,,,,,0.13,8.72
Karnataka Bank App,2022,6,0.32,43.13,,,,,0.32,43.13
Karur Vysya Bank App,2022,6,0.04,15.91,,,,,0.04,15.91
Kotak Mahindra Bank Apps,2022,6,8.33,1758.64,0.01,3.64,,,8.33,1762.28
MakeMyTrip,2022,6,0.11,51.45,,,,,0.11,51.45
MI Pay,2022,6,0.17,29.61,,,,,0.17,29.61
Mobikwik,2022,6,2.31,404.63,,,,,2.31,404.63
NSDL Payments Bank App,2022,6,0.02,2.44,,,,,0.02,2.44
Paytm,2022,6,778.87,89388.78,0.35,412.2,,,877.5,102119.9
PhonePe,2022,6,2732.59,501474.48,,,,,2732.59,501474.48
Punjab National Bank App,2022,6,0.08,40.68,,,,,0.08,40.68
Punjab Sindh Bank App,2022,6,0.01,5.93,,,,,0.01,5.93
RBL Bank App,2022,6,0.35,121.0,0.07,2.89,0.0,0.0,0.42,123.89
Samsung Pay,2022,6,4.07,468.23,,,,,4.07,468.23
South Indian Bank App,2022,6,0.14,46.66,,,,,0.14,46.66
Standard Chartered Bank App,2022,6,0.13,69.13,,,,,0.13,69.13
SBI Bank Apps,2022,6,3.83,1947.1,0.0,0.0,,,3.83,1947.1
Tamilnad Mercantile Bank Apps,2022,6,0.03,4.02,,,,,0.03,4.02
TataNeu,2022,6,0.12,19.41,,,,,0.12,19.41
TJSB Bank Apps,2022,6,0.01,2.1,,,,,0.01,2.1
UCO Bank App,2022,6,0.22,42.3,,,,,0.22,42.3
Ultracash,2022,6,0.03,3.32,,,,,0.03,3.32
Union Bank Apps,2022,6,0.45,199.8,,,,,0.45,199.8
Utkarsh Small Finance Bank,2022,6,0.01,3.47,,,,,0.01,3.47
WhatsApp,2022,6,23.04,429.06,,,,,23.04,429.06
Yes Bank Apps,2022,6,41.67,9889.56,2.35,1257.6,0.0,0.0,44.03,11147.17
YuvaPay,2022,6,0.03,58.31,,,,,0.03,58.31
Others,2022,6,0.02,6.34,,,,,0.02,6.34
PhonePe,2023,6,4461.4,745552.2,0.0,0.0,0.0,0.0,4461.36,745552.2
Google Pay,2023,6,3266.8,494088.0,0.0,0.0,0.0,0.0,3266.83,494088.0
Paytm,2023,6,1197.3,139950.1,1.4,4.2,0.6,866.8,1307.48,162494.8
Cred,2023,6,73.9,26431.8,0.0,0.0,0.0,0.0,73.93,26431.8
Amazon Pay,2023,6,52.9,5647.9,0.0,0.0,0.0,0.0,52.89,5647.9
Axis Bank Apps,2023,6,9.7,1692.7,37.9,537.1,0.0,1.9,47.64,2231.7
ICICI Bank Apps,2023,6,27.1,8599.3,4.8,338.0,5.7,7306.5,37.63,16243.7
Yes Bank Apps,2023,6,35.8,12721.8,0.0,0.0,0.7,275.6,36.46,12997.5
BHIM,2023,6,23.1,7289.0,0.0,0.0,0.0,0.0,23.11,7289.0
HDFC Bank Apps,2023,6,17.6,4168.6,0.0,0.0,0.0,0.0,17.56,4168.6
Kotak Mahindra Bank Apps,2023,6,17.4,3202.5,0.0,0.0,0.0,0.0,17.38,3202.5
WhatsApp,2023,6,16.0,1443.3,0.0,0.0,0.0,0.0,16.0,1443.3
FamApp by Trio,2023,6,15.0,184.7,0.0,0.0,0.0,0.0,14.99,184.7
Bajaj Finserv,2023,6,9.8,1312.6,0.0,0.0,0.0,0.0,9.76,1312.6
Airtel Payments Bank Apps,2023,6,8.8,632.1,0.0,0.0,0.0,0.0,8.84,632.2
IDFC First Bank Apps,2023,6,6.3,1528.1,0.0,0.0,0.0,12.2,6.31,1540.3
Samsung Pay,2023,6,5.6,522.8,0.0,0.0,0.0,0.0,5.61,522.8
Federal Bank App,2023,6,4.9,630.0,0.0,0.0,0.0,0.0,4.86,630.0
India Post Payments Bank App,2023,6,4.8,742.5,0.0,0.0,0.0,0.0,4.83,742.5
SBI Bank Apps,2023,6,4.6,1959.3,0.0,0.0,0.0,0.4,4.64,1959.7
Mobikwik,2023,6,3.6,1060.4,0.0,0.0,0.0,0.0,3.58,1060.4
Jupiter Money,2023,6,3.0,424.8,0.0,0.0,0.0,0.0,2.96,424.8
Deutsche Bank App,2023,6,1.8,125.6,0.0,0.0,0.0,0.0,1.81,125.6
Canara Bank App,2023,6,1.6,462.7,0.0,0.0,0.0,0.0,1.58,462.7
Groww,2023,6,1.5,1039.6,0.0,0.0,0.0,0.0,1.45,1039.6
Standard Chartered Bank App,2023,6,1.2,522.6,0.0,0.0,0.2,150.0,1.4,672.6
Jio Payments Bank App,2023,6,1.4,113.2,0.0,0.0,0.0,0.0,1.35,113.2
RBL Bank App,2023,6,1.1,493.4,0.0,0.0,0.2,4.4,1.29,497.9
Bank of Baroda Apps,2023,6,1.2,427.6,0.0,0.0,0.0,0.1,1.19,427.7
Slice,2023,6,0.9,272.8,0.0,0.0,0.0,0.0,0.88,272.8
INDIE,2023,6,0.8,897.6,0.0,0.0,0.0,0.0,0.79,897.6
Union Bank Apps,2023,6,0.8,318.9,0.0,0.0,0.0,0.0,0.79,318.9
Punjab National Bank App,2023,6,0.8,169.7,0.0,0.0,0.0,0.0,0.77,169.7
AU Small Finance Bank App,2023,6,0.6,196.1,0.0,0.0,0.0,0.0,0.64,196.1
Karnataka Bank App,2023,6,0.6,125.9,0.0,0.0,0.0,0.0,0.61,125.9
OMNI,2023,6,0.5,13.9,0.0,0.0,0.0,0.0,0.48,13.9
Central Bank of India App,2023,6,0.4,97.4,0.0,0.0,0.0,0.1,0.44,97.6
DBS Bank Apps,2023,6,0.4,166.9,0.0,0.0,0.0,0.0,0.41,166.9
UCO Bank App,2023,6,0.3,107.6,0.0,0.0,0.0,0.0,0.33,107.6
Indian Bank App,2023,6,0.3,80.2,0.0,0.0,0.0,1.1,0.28,81.2
South Indian Bank App,2023,6,0.3,70.5,0.0,0.0,0.0,0.0,0.25,70.5
Bank of India App,2023,6,0.2,71.9,0.0,0.0,0.0,0.0,0.23,71.9
Jupiter Money,2023,6,0.2,11.3,0.0,0.0,0.0,0.0,0.21,11.3
HSBC Bank App,2023,6,0.2,89.1,0.0,0.1,0.0,0.0,0.15,89.2
Fino Payments Bank App,2023,6,0.1,9.2,0.0,0.0,0.0,0.0,0.13,9.2
TataNeu,2023,6,0.1,17.6,0.0,0.0,0.0,0.0,0.12,17.6
Tamilnad Mercantile Bank Apps,2023,6,0.1,18.9,0.0,0.0,0.0,0.0,0.08,18.9
IDBI Bank App,2023,6,0.1,34.1,0.0,0.0,0.0,0.0,0.08,34.1
Citi Bank App,2023,6,0.1,54.2,0.0,0.0,0.0,0.0,0.07,54.2
Fave,2023,6,0.1,4.6,0.0,0.0,0.0,0.0,0.07,4.6
Bajaj Finserv,2023,6,0.1,14.3,0.0,0.0,0.0,0.0,0.07,14.3
PINELABS,2023,6,0.1,4.2,0.0,0.0,0.0,0.0,0.07,4.2
City Union Bank App,2023,6,0.1,18.3,0.0,0.0,0.0,0.0,0.06,18.3
GoKiwi,2023,6,0.1,4.1,0.0,0.0,0.0,0.0,0.05,4.1
Indian Overseas Bank Apps,2023,6,0.0,13.0,0.0,0.0,0.0,0.0,0.05,13.0
Ultracash,2023,6,0.0,3.1,0.0,0.0,0.0,0.0,0.04,3.1
Karur Vysya Bank App,2023,6,0.0,14.0,0.0,0.0,0.0,0.0,0.04,14.0
MakeMyTrip,2023,6,0.0,18.2,0.0,0.0,0.0,0.0,0.03,18.2
Punjab Sindh Bank App,2023,6,0.0,12.6,0.0,0.0,0.0,0.0,0.03,12.6
Dhani,2023,6,0.0,7.0,0.0,0.0,0.0,0.0,0.03,7.0
Equitas Small Apps,2023,6,0.0,17.3,0.0,0.0,0.0,0.0,0.03,17.3
Allahabad Bank App,2023,6,0.0,8.3,0.0,0.0,0.0,0.0,0.03,8.3
NSDL Payments Bank App,2023,6,0.0,4.1,0.0,0.0,0.0,0.0,0.02,4.1
GoNiyo,2023,6,0.0,0.5,0.0,0.0,0.0,0.0,0.02,0.5
Utkarsh Small Finance Bank,2023,6,0.0,6.3,0.0,0.0,0.0,0.0,0.02,6.3
Jammu and Kashmir Bank App,2023,6,0.0,2.4,0.0,0.0,0.0,0.0,0.01,2.4
Bandhan Bank Apps,2023,6,0.0,3.1,0.0,0.0,0.0,0.0,0.01,3.1
Zomato,2023,6,0.0,1.7,0.0,0.0,0.0,0.0,0.01,1.7
Dhanlaxmi Bank App,2023,6,0.0,3.2,0.0,0.0,0.0,0.0,0.01,3.2
Bank of Maharashtra App,2023,6,0.0,0.8,0.0,0.0,0.0,0.0,0.01,0.8
Others,2023,6,0.0,11.8,0.0,0.0,0.0,0.0,0.0,11.8
PhonePe,2024,6,6716.09,1009064.99,0.0,0.0,0.0,0.0,6716.09,1009064.99
Google Pay,2024,6,5103.99,707241.27,0.0,0.0,0.0,0.0,5103.99,707241.27
Paytm,2024,6,1104.89,120840.45,0.0,0.0,0.0,0.0,1104.89,120840.45
Cred,2024,6,138.42,45720.01,0.0,0.0,0.0,0.0,138.42,45720.01
Axis Bank Apps,2024,6,14.14,3852.77,60.92,2755.96,0.01,5.3,75.07,6614.04
Amazon Pay,2024,6,67.07,7377.3,0.0,0.0,0.0,0.0,67.07,7377.3
ICICI Bank Apps,2024,6,38.25,16692.52,4.2,462.22,9.2,12841.44,51.65,29996.18
FamApp by Trio,2024,6,50.78,641.36,0.0,0.0,0.0,0.0,50.78,641.36
Kotak Mahindra Bank Apps,2024,6,42.65,6073.08,0.0,0.0,0.0,0.0,42.65,6073.08
WhatsApp,2024,6,37.18,2923.79,0.0,0.0,0.0,0.0,37.18,2923.79
Navi,2024,6,35.72,1769.66,0.0,0.0,0.0,0.0,35.72,1769.66
HDFC Bank Apps,2024,6,34.57,8166.94,0.03,0.08,0.0,0.27,34.6,8167.3
BHIM,2024,6,22.72,7965.69,0.0,0.0,0.0,0.0,22.72,7965.69
Yes Bank Apps,2024,6,22.28,9285.69,0.0,0.0,0.27,31.36,22.55,9317.05
Airtel Payments Bank Apps,2024,6,15.76,1191.68,0.0,0.0,0.0,0.39,15.76,1192.07
Mobikwik,2024,6,11.59,2564.79,0.0,0.0,0.0,0.0,11.59,2564.79
Groww,2024,6,11.26,9094.72,0.0,0.0,0.0,0.0,11.26,9094.72
Bajaj Finserv,2024,6,8.23,1852.43,0.0,0.0,0.0,0.0,8.23,1852.43
Slice,2024,6,7.86,634.47,0.0,0.0,0.0,0.0,7.86,634.47
IDFC First Bank Apps,2024,6,7.33,1654.91,0.0,0.0,0.0,0.0,7.33,1654.91
SBI Bank Apps,2024,6,7.22,2426.08,0.0,0.0,0.0,0.0,7.22,2426.08
Samsung Pay,2024,6,6.38,542.12,0.0,0.0,0.0,0.0,6.38,542.12
India Post Payments Bank App,2024,6,6.01,732.1,0.0,0.0,0.0,0.0,6.01,732.1
Flipkart UPI,2024,6,5.97,337.24,0.0,0.0,0.0,0.0,5.97,337.24
Federal Bank App,2024,6,5.67,790.57,0.0,0.0,0.0,0.0,5.67,790.57
Jupiter Money,2024,6,5.63,750.68,0.0,0.0,0.0,0.0,5.63,750.68
Canara Bank App,2024,6,2.88,793.85,0.0,0.0,0.0,0.0,2.88,793.85
Jio Payments Bank App,2024,6,2.33,186.62,0.0,0.0,0.0,0.0,2.33,186.62
Deutsche Bank App,2024,6,2.25,334.1,0.0,0.0,0.0,0.03,2.25,334.12
Timepay,2024,6,1.82,20.11,0.0,0.0,0.0,0.09,1.82,20.2
Punjab National Bank App,2024,6,1.8,472.48,0.0,0.0,0.0,0.0,1.8,472.48
RBL Bank App,2024,6,1.66,733.04,0.0,0.01,0.09,52.02,1.75,785.07
Indian Bank App,2024,6,1.73,330.29,0.0,0.0,0.0,0.18,1.73,330.47
